commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
697e7ab1544452edb961ab56bb72fcca5a882766,rumdl,1,1,fetchFromGitHub,e57b3b16ad8758fd681511a078f35c416a8cc939
75db06847d30bf45e5247ca43368e06b84e034dd,noxdir,1,1,fetchFromGitHub,35f590344ff791e6b1d6d6b8f3523467c9217caf
6287acfde9bcdfb565287d32a17dd63a30ab033f,bc-mbedtls,1,1,fetchFromGitLab,35f590344ff791e6b1d6d6b8f3523467c9217caf
8f504d1eaea986d9db2197b2e2dbbb4c50b9883c,fortitude,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
999175c168950edf026630e9cbff92e7d2a81524,xdgcpp,1,1,fetchFromGitHub,362791944032cb532aabbeed7887a441496d5e6e
64a83be1b4a14f70cec9073f02e6ee62cd059053,sslpsk-pmd3,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
d6fad593914f7424d8705ec020c2773938589685,python-pcapng,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
1215f612c0c002ba56b041abe7654230b2097615,pykdebugparser,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
c2f120ffa7bf5acdc76def1856730f62e3da798c,developer-disk-image,1,1,fetchPypi,2ea123939c5cb71d2761896c27e475aeab266364
5a361fb495423f0de9aaff428edc4f3d5085da86,la-panic,1,1,fetchFromGitLab,2ea123939c5cb71d2761896c27e475aeab266364
7e40f18735a0e0e8fbe66aeed7f92d898cb95e06,pytun-pmd3,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
c8a155163bedb6d8a37e5bd928cf4492f9ef2848,opack2,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
9c85c01642864c598d5d305e9542dc1299da23df,remotezip2,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
b962adc324075b29880904f1d74fa4c09135408a,lzfse,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
b06539e405baae820f7386ebaa03731ee15bfcc6,pylzss,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
d857e97037cc57bb8a78a6d7f41277bb05d68208,inquirer3,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
72d1a8aeb004c6eca7389fe8ee788606ffa76cf7,pygnuutils,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
ec1de643814972dfb818d513cd75183452392c13,parameter-decorators,1,1,fetchFromGitHub,2ea123939c5cb71d2761896c27e475aeab266364
a57dccaf8206a10da5578ac75d85669ead787577,gendarme,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
6216062a32087c21a66e24a80718ff1eec6c8ba8,drat,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
e25088272415352af572a1a79d775c3a49f429ad,immich-kiosk,2,1,"fetchFromGitHub,fetchDeps",c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
fdb77670d937a2b1e2755084b761e72b87e3b320,reflink-copy,2,1,"fetchFromGitHub,fetchCargoVendor",2dad7af78a183b6c486702c18af8a9544f298377
e12e058f03b90373be0ccac06168ee59cc3bb027,hyprmon,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
b692ac3877104534238eca8b5c6ddd561ad1a807,dockerfile,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
69ad974f1ca533099f79a25d7c1c2e3e650e35bf,freifunk-meshviewer,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
3fe6486b2ac0b76b392fbdbc8cb8149d6b09728b,timelength,1,1,fetchFromGitHub,832e3b6db48508ae436c2c7bfc0cf914eac6938e
a79b5ca0c5f558b21bde933cf917cef2d1d374ba,0install-solver,1,1,fetchFromGitHub,832e3b6db48508ae436c2c7bfc0cf914eac6938e
d443501cb0c57c5604aef8c0bfb39c91ebadb440,pgit,1,1,fetchFromGitHub,832e3b6db48508ae436c2c7bfc0cf914eac6938e
173b795a64cd2710a98be5636dc54922e8097ed4,code,1,1,fetchFromGitHub,832e3b6db48508ae436c2c7bfc0cf914eac6938e
6a92e489f85299d0177658a1a256401966543364,kitget,1,1,fetchFromGitHub,2dad7af78a183b6c486702c18af8a9544f298377
6f4198f4320d58ce04fb30ebfc10a267074c1577,tinycmmc,1,1,fetchFromGitHub,362791944032cb532aabbeed7887a441496d5e6e
a75588c6c505e6dc71b40154286f13601218ab0d,atuin-desktop,2,1,"fetchFromGitHub,fetchDeps",8b5c9dd8856f0c0cf46cc91f2c21c106a9d42e25
